bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 0, 0, 0.14285714285714285, 16.0
2, 1, 1, 1, 0.5666666666666667, 9.0
3, 1, 1, 1, 1.0, 0.0
4, 0, 0, 0, 0.04, 16.0
5, 1, 1, 1, 1.0, 0.0
7, 1, 1, 1, 1.0, 0.0
9, 1, 1, 1, 1.0, 0.0
12, 0, 0, 0, 0.058823529411764705, 17.0
13, 0, 0, 0, 0.1111111111111111, 5.0
14, 0, 1, 1, 0.2583333333333333, 6.0
15, 0, 0, 0, 0.08333333333333333, 42.0
16, 0, 0, 1, 0.15833333333333333, 2.0
17, 0, 1, 1, 0.5, 1.0
18, 1, 1, 1, 0.7555555555555555, 1.0
19, 1, 1, 1, 0.8333333333333333, 0.0
20, 0, 0, 0, 0.022727272727272728, 29.0
21, 0, 1, 1, 0.2672413793103448, 2.0
22, 0, 1, 1, 0.5560897435897436, 4.0
25, 0, 0, 1, 0.1607142857142857, 18.0
26, 0, 0, 0, 0.022727272727272728, 82.0
