bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 0, 0, 0.14285714285714285, 16.0
2, 0, 0, 0, 0.07631578947368421, 24.0
3, 1, 1, 1, 1.0, 0.0
4, 1, 1, 1, 1.0, 0.0
5, 1, 1, 1, 1.0, 0.0
7, 1, 1, 1, 1.0, 0.0
9, 1, 1, 1, 1.0, 0.0
12, 0, 0, 0, 0.058823529411764705, 17.0
13, 0, 0, 0, 0.1111111111111111, 5.0
14, 0, 0, 0, 0.07222780326228602, 34.0
15, 0, 0, 0, 0.08333333333333333, 42.0
16, 0, 1, 1, 0.2833333333333333, 0.0
17, 0, 1, 1, 0.5, 1.0
18, 1, 1, 1, 0.6333333333333333, 0.0
19, 0, 0, 0, 0.04206349206349206, 34.0
20, 0, 0, 0, 0.022727272727272728, 29.0
21, 0, 1, 1, 0.2672413793103448, 2.0
22, 0, 0, 0, 0.1732174688057041, 8.0
25, 0, 0, 0, 0.005597122302158274, 260.0
26, 0, 0, 0, 0.004329004329004329, 230.0
