bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 0, 0, 0.14285714285714285, 16.0
2, 0, 0, 0, 0.10250000000000001, 15.0
3, 1, 1, 1, 1.0, 0.0
4, 1, 1, 1, 1.0, 0.0
5, 1, 1, 1, 1.0, 0.0
7, 1, 1, 1, 1.0, 0.0
9, 1, 1, 1, 1.0, 0.0
12, 0, 0, 0, 0.058823529411764705, 17.0
13, 0, 0, 0, 0.1111111111111111, 5.0
14, 0, 1, 1, 0.2583333333333333, 6.0
15, 0, 0, 0, 0.08333333333333333, 42.0
16, 0, 1, 1, 0.2833333333333333, 0.0
17, 0, 1, 1, 0.5, 1.0
18, 1, 1, 1, 1.0, 0.0
19, 0, 1, 1, 0.5, 1.0
20, 0, 0, 0, 0.022727272727272728, 29.0
21, 0, 1, 1, 0.2672413793103448, 2.0
22, 0, 0, 0, 0.19776583710407242, 7.0
25, 0, 0, 0, 0.005455858361637827, 256.0
26, 0, 0, 0, 0.006289308176100629, 158.0
