bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 0, 0, 0.14285714285714285, 16.0
2,0, 0, 0, 0.084967320261437912, 22.0
3,1, 1, 1, 1.0, 0.0
4,1, 1, 1, 1.0, 0.0
5,1, 1, 1, 1.0, 0.0
6,0, 0, 0, 0.047619047619047616, 12.0
7,1, 1, 1, 1.0, 0.0
8,0, 0, 1, 0.20000000000000001, 12.0
9,1, 1, 1, 1.0, 0.0
10,0, 0, 1, 0.25, 1.0
11,1, 1, 1, 1.0, 0.0
12,0, 0, 0, 0.0055248618784530384, 101.0
13,0, 0, 0, 0.1111111111111111, 5.0
14,0, 0, 0, 0.06826152632604246, 30.0
15,0, 0, 0, 0.083333333333333329, 42.0
16,0, 1, 1, 0.28333333333333333, 0.0
17,0, 1, 1, 0.5, 1.0
18,1, 1, 1, 0.91666666666666663, 0.0
19,0, 0, 0, 0.069264069264069264, 20.0
20,0, 0, 0, 0.022727272727272728, 29.0
21,0, 1, 1, 0.26666666666666666, 2.0
22,0, 0, 1, 0.19443755169561622, 6.0
24,0, 1, 1, 0.5, 3.0
25,0, 0, 0, 0.0054950996958431902, 256.0
26,0, 0, 0, 0.0046948356807511738, 211.0
