bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 0, 0, 0.14285714285714285, 16.0
2,1, 1, 1, 0.56666666666666665, 9.0
3,1, 1, 1, 1.0, 0.0
4,0, 0, 0, 0.040000000000000001, 16.0
5,1, 1, 1, 1.0, 0.0
6,0, 0, 0, 0.045454545454545456, 19.0
7,1, 1, 1, 1.0, 0.0
8,0, 0, 0, 0.14285714285714285, 14.0
9,1, 1, 1, 1.0, 0.0
10,0, 0, 1, 0.25, 1.0
11,1, 1, 1, 1.0, 0.0
12,0, 0, 0, 0.058823529411764705, 17.0
13,0, 0, 0, 0.1111111111111111, 5.0
14,0, 1, 1, 0.2583333333333333, 6.0
15,0, 0, 0, 0.083333333333333329, 42.0
16,0, 0, 1, 0.15833333333333333, 2.0
17,0, 1, 1, 0.5, 1.0
18,1, 1, 1, 0.75555555555555554, 1.0
19,1, 1, 1, 0.83333333333333326, 0.0
20,0, 0, 0, 0.022727272727272728, 29.0
21,0, 1, 1, 0.26724137931034481, 2.0
22,0, 1, 1, 0.55608974358974361, 4.0
24,0, 1, 1, 0.5, 3.0
25,0, 0, 1, 0.1607142857142857, 18.0
26,0, 0, 0, 0.022727272727272728, 82.0
