bug_id,Barinel,DStar,GP13,GP19,Naish2,Ochiai,Tarantula,TarantulaStar
1,7,7,7,7,7,7,7,7
2,1,12,19,17,19,8,1,19
3,1,1,1,1,1,1,1,1
4,25,1,1,1,1,1,25,1
5,1,1,1,1,1,1,1,1
6,22,22,22,21,22,22,22,17
7,1,1,1,1,1,1,1,1
8,7,7,7,5,25,7,7,7
9,1,1,1,1,1,1,1,1
10,4,4,4,4,4,4,4,4
11,1,1,1,1,1,1,1,1
12,17,17,17,181,17,17,17,17
13,9,9,9,9,9,9,9,9
14,3,11,29,31,29,3,3,29
15,12,12,12,12,12,12,12,12
16,4,2,2,2,2,2,4,2
17,2,2,2,2,2,2,2,2
18,1,1,1,1,1,1,1,1
19,1,4,35,21,35,2,1,27
20,44,44,44,44,43,44,44,44
21,2,2,2,2,2,2,2,2
22,2,11,11,5,11,8,2,9
24,2,2,2,2,2,2,2,2
25,4,250,250,269,250,269,4,273
26,44,190,231,213,231,159,44,210
