bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 0, 0, 0.022222222222222223, 44.0
2, 1, 1, 1, 1.0, 2.0
3, 0, 0, 1, 0.13136942675159236, 8.0
4, 0, 0, 0, 0.01282051282051282, 77.0
5, 0, 0, 0, 0.027777777777777776, 34.0
6, 1, 1, 1, 0.6666666666666666, 3.0
7, 0, 1, 1, 0.5, 1.0
8, 0, 0, 0, 0.003257328990228013, 314.0
10, 0, 0, 0, 0.011764705882352941, 87.0
11, 0, 0, 0, 0.0038022813688212928, 263.0
12, 0, 0, 0, 0.0011976047904191617, 1241.0
13, 0, 0, 0, 0.014925373134328358, 52.0
14, 0, 0, 0, 0.0625, 25.0
15, 0, 0, 0, 0.045454545454545456, 20.0
16, 0, 1, 1, 0.26, 8.0
17, 0, 0, 0, 0.058823529411764705, 16.0
18, 0, 0, 0, 0.004149377593360996, 238.0
19, 0, 0, 0, 0.16666666666666666, 8.0
20, 0, 0, 1, 0.2, 6.0
21, 0, 0, 0, 0.011494252873563218, 81.0
22, 0, 0, 0, 0.013888888888888888, 80.0
23, 0, 1, 1, 0.3333333333333333, 2.0
24, 0, 1, 1, 0.3333333333333333, 7.0
25, 0, 0, 0, 0.010416666666666666, 97.0
26, 1, 1, 1, 1.0, 44.0
27, 0, 1, 1, 0.41666666666666663, 4.0
29, 0, 0, 0, 0.011235955056179775, 69.0
30, 0, 0, 0, 0.009967389443297255, 79.0
31, 0, 0, 0, 0.0125, 78.0
32, 0, 0, 0, 0.1111111111111111, 6.0
33, 0, 0, 0, 0.1111111111111111, 8.0
34, 0, 1, 1, 0.17029847424515934, 0.0
35, 0, 0, 0, 0.008130081300813009, 122.0
36, 0, 0, 0, 0.0136986301369863, 46.0
37, 0, 0, 0, 0.041353383458646614, 23.0
38, 0, 0, 1, 0.25, 3.0
39, 0, 1, 1, 0.5, 1.0
40, 0, 0, 0, 0.00847457627118644, 117.0
41, 0, 1, 1, 0.39285714285714285, 1.0
42, 0, 0, 0, 0.09090909090909091, 7.0
43, 0, 0, 0, 0.011614701631220317, 57.0
44, 0, 0, 0, 0.007633587786259542, 198.0
45, 0, 0, 0, 0.036901595744680854, 30.0
46, 1, 1, 1, 1.0, 0.0
47, 0, 0, 0, 0.00901548159822008, 141.0
48, 1, 1, 1, 1.0, 0.0
49, 0, 0, 0, 0.07877797583679937, 37.0
50, 0, 0, 0, 0.16666666666666666, 8.0
51, 0, 0, 0, 0.05, 15.0
52, 0, 0, 0, 0.06666666666666667, 14.0
53, 0, 1, 1, 0.5, 11.0
54, 0, 0, 0, 0.08454987834549878, 6.0
55, 0, 0, 0, 0.003115264797507788, 383.0
56, 0, 0, 0, 0.016129032258064516, 61.0
57, 0, 1, 1, 0.3333333333333333, 5.0
58, 0, 0, 0, 0.1111111111111111, 4.0
59, 0, 0, 0, 0.003367003367003367, 263.0
60, 0, 0, 0, 0.03009482481517197, 11.0
61, 0, 1, 1, 0.5, 8.0
62, 1, 1, 1, 1.0, 0.0
63, 1, 1, 1, 1.0, 0.0
64, 0, 0, 0, 0.003582741943297557, 199.0
65, 0, 1, 1, 0.3333333333333333, 2.0
66, 0, 1, 1, 0.5, 2.0
67, 0, 0, 0, 0.002028397565922921, 322.0
68, 0, 1, 1, 0.6388888888888888, 0.0
69, 0, 0, 0, 0.007407407407407408, 134.0
70, 0, 0, 0, 0.006369426751592357, 156.0
71, 0, 1, 1, 0.3333333333333333, 1.0
72, 0, 0, 0, 0.016129032258064516, 59.0
73, 1, 1, 1, 1.0, 0.0
74, 0, 0, 0, 0.07692307692307693, 12.0
75, 0, 0, 0, 0.09453781512605042, 14.0
76, 0, 0, 1, 0.12777777777777777, 9.0
77, 1, 1, 1, 1.0, 0.0
78, 1, 1, 1, 1.0, 0.0
79, 0, 1, 1, 0.25757575757575757, 4.0
80, 0, 0, 0, 0.12698412698412698, 4.0
81, 0, 1, 1, 0.3333333333333333, 2.0
82, 0, 0, 0, 0.125, 7.0
83, 1, 1, 1, 1.0, 0.0
84, 0, 0, 0, 0.07692307692307693, 12.0
85, 0, 0, 0, 0.046703296703296704, 16.0
86, 0, 0, 0, 0.015873015873015872, 62.0
87, 0, 0, 0, 0.021739130434782608, 43.0
88, 0, 0, 0, 0.016666666666666666, 59.0
89, 0, 0, 0, 0.015443098123069612, 69.0
90, 0, 1, 1, 0.16837315130830488, 2.0
91, 0, 0, 0, 0.010752688172043012, 92.0
92, 0, 0, 0, 0.08333333333333333, 11.0
93, 0, 0, 0, 0.08333333333333333, 11.0
94, 0, 0, 0, 0.16666666666666666, 2.0
95, 0, 0, 0, 0.018518518518518517, 53.0
96, 0, 0, 0, 0.07692307692307693, 12.0
97, 0, 0, 0, 0.14285714285714285, 5.0
98, 0, 0, 0, 0.006435044137176783, 203.0
99, 0, 0, 0, 0.045454545454545456, 10.0
100, 0, 0, 0, 0.01937669376693767, 29.0
101, 0, 0, 0, 0.002304147465437788, 451.0
102, 0, 0, 0, 0.0017953321364452424, 580.0
103, 0, 0, 0, 0.012123467429198165, 47.0
104, 1, 1, 1, 1.0, 0.0
105, 0, 0, 0, 0.14285714285714285, 4.0
106, 0, 0, 0, 0.043859649122807015, 14.0
107, 0, 0, 0, 0.041666666666666664, 25.0
108, 0, 0, 0, 0.023523642219294396, 18.0
109, 0, 0, 0, 0.125, 7.0
110, 0, 0, 0, 0.018536716097909595, 26.0
111, 0, 0, 0, 0.0016339869281045752, 645.0
112, 0, 0, 0, 0.029411764705882353, 33.0
113, 0, 0, 0, 0.037037037037037035, 15.0
114, 0, 0, 0, 0.007874015748031496, 126.0
115, 0, 0, 0, 0.05, 19.0
116, 0, 0, 0, 0.047619047619047616, 21.0
117, 0, 0, 1, 0.2, 3.0
118, 0, 0, 0, 0.014285714285714285, 69.0
119, 0, 0, 0, 0.010638297872340425, 92.0
120, 0, 0, 0, 0.0125, 74.0
121, 0, 0, 0, 0.14285714285714285, 6.0
122, 1, 1, 1, 1.0, 0.0
123, 0, 0, 0, 0.125, 3.0
124, 0, 0, 0, 0.14285714285714285, 8.0
125, 0, 0, 1, 0.25, 2.0
126, 0, 0, 0, 0.03571428571428571, 18.0
127, 0, 0, 0, 0.004901960784313725, 209.0
128, 0, 0, 0, 0.07142857142857142, 13.0
129, 0, 0, 0, 0.029411764705882353, 35.0
130, 0, 0, 0, 0.02857142857142857, 32.0
131, 0, 0, 0, 0.1, 19.0
132, 0, 0, 0, 0.038461538461538464, 25.0
133, 0, 0, 0, 0.04, 24.0
