bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 0, 0, 0.071428571428571425, 13.0
2,1, 1, 1, 1.0, 2.0
3,0, 0, 1, 0.13153594771241831, 8.0
4,0, 0, 0, 0.013888888888888888, 71.0
5,0, 0, 0, 0.027777777777777776, 34.0
6,1, 1, 1, 0.59999999999999998, 2.0
7,0, 1, 1, 0.5, 1.0
8,0, 0, 0, 0.0032573289902280132, 314.0
9,1, 1, 1, 0.5021141649048626, 0.0
10,0, 0, 0, 0.011764705882352941, 87.0
11,0, 0, 0, 0.0041493775933609959, 239.0
12,0, 0, 0, 0.0011976047904191617, 1241.0
13,0, 0, 0, 0.014925373134328358, 52.0
14,0, 0, 0, 0.020833333333333332, 26.0
15,0, 0, 0, 0.045454545454545456, 20.0
16,0, 1, 1, 0.17829457364341084, 9.0
17,0, 0, 0, 0.058823529411764705, 16.0
18,0, 0, 0, 0.0041493775933609959, 238.0
19,0, 0, 0, 0.16666666666666666, 8.0
20,0, 0, 1, 0.20000000000000001, 6.0
21,0, 0, 0, 0.011494252873563218, 81.0
22,0, 0, 0, 0.013888888888888888, 80.0
23,0, 1, 1, 0.33333333333333331, 2.0
24,0, 1, 1, 0.33333333333333331, 7.0
25,0, 0, 0, 0.010416666666666666, 97.0
26,0, 0, 0, 0.058823529411764705, 11.0
27,0, 0, 1, 0.22500000000000001, 3.0
29,0, 0, 0, 0.027027027027027029, 36.0
30,0, 0, 0, 0.011889020660950487, 51.0
31,0, 0, 0, 0.012500000000000001, 78.0
32,0, 0, 1, 0.25, 1.0
33,0, 0, 0, 0.1111111111111111, 8.0
34,0, 1, 1, 0.17029847424515934, 0.0
35,0, 0, 0, 0.008130081300813009, 122.0
36,0, 0, 0, 0.013698630136986301, 46.0
37,0, 0, 0, 0.041353383458646614, 23.0
38,0, 0, 1, 0.25, 3.0
39,0, 0, 0, 0.012345679012345678, 55.0
40,0, 0, 0, 0.009433962264150943, 105.0
41,0, 1, 1, 0.33333333333333331, 1.0
42,0, 0, 0, 0.090909090909090912, 7.0
43,0, 0, 0, 0.012492066239686111, 52.0
44,0, 0, 0, 0.0076335877862595417, 198.0
45,0, 0, 0, 0.036901595744680854, 30.0
46,1, 1, 1, 1.0, 0.0
47,0, 0, 0, 0.0030792443885272504, 286.0
48,1, 1, 1, 1.0, 0.0
49,0, 0, 0, 0.018707912457912462, 44.0
50,0, 0, 1, 0.25, 6.0
51,0, 0, 0, 0.050000000000000003, 15.0
52,0, 0, 0, 0.066666666666666666, 14.0
53,0, 1, 1, 0.5, 11.0
54,0, 0, 1, 0.1790565501562944, 3.0
55,0, 0, 0, 0.0031152647975077881, 383.0
56,1, 1, 1, 1.0, 0.0
57,0, 1, 1, 0.33333333333333331, 5.0
58,0, 0, 0, 0.1111111111111111, 4.0
59,0, 0, 0, 0.0033670033670033669, 263.0
60,0, 0, 0, 0.029972617201675957, 11.0
61,0, 0, 0, 0.047619047619047616, 20.0
62,1, 1, 1, 1.0, 0.0
63,1, 1, 1, 1.0, 0.0
64,0, 0, 0, 0.0035827419432975572, 199.0
