bug_id,Barinel,DStar,GP13,GP19,Naish2,Ochiai,Tarantula,TarantulaStar
1,45,14,18,18,18,14,45,18
2,1,1,1,1,1,1,1,1
3,4,4,4,4,4,4,4,4
4,78,70,52,52,52,72,78,52
5,36,36,36,36,36,36,36,36
6,1,1,46,5,46,1,1,4
7,2,2,2,2,2,2,2,2
8,307,307,307,1003,307,307,307,307
9,1,1,1,1,1,1,1,1
10,85,85,85,85,85,85,85,85
11,263,241,207,284,207,241,263,207
12,835,835,835,1393,1235,835,835,835
13,67,67,67,67,67,67,67,67
14,16,6,33,28,33,48,16,33
15,22,22,22,22,22,22,22,22
16,2,2,2,2,2,3,2,2
17,17,17,17,17,17,17,17,17
18,241,241,241,241,241,241,241,241
19,6,6,6,6,6,6,6,6
20,5,5,5,5,5,5,5,5
21,87,87,87,87,87,87,87,87
22,72,72,72,72,72,72,72,72
23,3,3,3,3,3,3,3,3
24,3,3,3,3,3,3,3,3
25,96,96,96,96,96,96,96,96
26,1,17,17,17,17,17,1,17
27,2,5,5,5,5,5,2,5
29,89,35,608,105,608,37,89,89
30,79,38,18,18,18,52,79,18
31,80,80,80,80,80,80,80,80
32,9,4,4,4,4,4,9,4
33,9,9,9,9,9,9,9,9
34,2,2,2,2,2,2,2,2
35,123,123,123,123,123,123,123,123
36,73,73,73,73,73,73,73,73
37,21,21,21,21,21,21,21,21
38,4,4,4,4,4,4,4,4
39,2,81,81,165,81,81,2,81
40,118,106,53,53,53,106,118,53
41,2,2,96,96,96,2,2,96
42,11,11,11,11,11,11,11,11
43,58,53,40,40,40,53,58,40
44,131,131,131,131,131,131,131,131
45,32,32,32,32,32,32,32,32
46,1,4,119,14,119,1,1,14
47,67,404,403,404,403,404,67,378
48,1,1,1,1,1,1,1,1
49,11,54,27,91,27,45,11,90
50,6,4,4,4,4,4,6,4
51,20,20,20,20,20,20,20,20
52,15,15,15,15,15,15,15,15
53,2,2,2,2,2,2,2,2
54,8,4,1,1,1,5,8,1
55,321,321,321,471,321,321,321,321
56,62,1,1,1,1,1,62,1
57,3,3,3,3,3,3,3,3
58,9,9,9,9,9,9,9,9
59,297,297,297,297,297,297,297,297
60,17,17,5,5,5,17,17,5
61,2,21,412,39,412,21,2,45
62,1,1,1,1,1,1,1,1
63,1,1,1,1,1,1,1,1
64,213,213,213,213,213,213,213,213
65,3,3,3,3,3,3,3,3
66,2,7,7,7,7,6,2,7
67,493,493,493,1069,493,493,493,493
68,2,2,2,2,2,2,2,2
69,135,81,9,9,9,81,135,9
70,157,158,72,52,72,159,157,81
71,3,5,677,67,677,3,3,677
72,62,62,62,62,62,62,62,62
73,1,1,1,1,1,1,1,1
74,13,3,1,1,1,3,13,1
75,14,14,14,14,14,14,14,14
76,5,27,18,18,18,27,5,18
77,1,1,1,1,1,1,1,1
78,1,1,1,1,1,1,1,1
79,3,3,322,7,322,3,3,5
80,7,8,247,99,247,7,7,242
81,3,3,3,3,3,3,3,3
82,8,8,89,8,89,8,8,36
83,1,1,1,1,1,1,1,1
84,13,13,13,13,13,13,13,13
85,14,1,1,1,1,1,14,1
86,63,6,1,1,1,14,63,1
87,46,46,46,46,46,46,46,46
88,60,12,12,12,12,12,60,12
89,69,106,88,101,88,108,69,90
90,3,1,1,1,1,1,3,1
91,93,93,93,93,93,93,93,93
92,12,12,12,12,12,12,12,12
93,12,12,12,12,12,12,12,12
94,6,13,10,10,10,7,6,10
95,54,73,151,152,151,72,54,151
96,13,13,13,13,13,13,13,13
97,7,7,7,7,7,7,7,7
98,204,204,204,204,204,204,204,204
99,22,4,123,44,123,22,22,125
100,30,220,118,74,118,77,30,216
101,434,434,434,434,434,434,434,434
102,557,557,557,557,557,557,557,557
103,49,21,19,14,19,34,49,16
104,1,1,1,1,1,1,1,1
105,7,7,7,7,7,7,7,7
106,15,29,317,14,317,17,15,22
107,24,24,24,24,24,24,24,24
108,20,20,20,20,20,20,20,20
109,8,8,8,8,8,8,8,8
110,29,7,7,7,7,7,29,7
111,612,612,612,259,668,612,612,612
112,34,27,19,19,19,27,34,19
113,27,27,27,27,27,27,27,27
114,127,127,127,127,127,127,127,127
115,20,3,660,4,660,3,20,4
116,21,5,266,4,266,11,21,2
117,5,5,5,5,5,5,5,5
118,70,66,64,64,64,67,70,64
119,94,94,94,94,94,94,94,94
120,80,80,80,80,80,80,80,80
121,7,7,7,7,7,7,7,7
122,1,1,1,1,1,1,1,1
123,8,8,8,8,8,8,8,8
124,7,7,7,7,7,7,7,7
125,4,4,4,4,4,4,4,4
126,28,97,69,97,69,66,28,69
127,204,188,142,226,142,185,209,160
128,14,14,14,14,14,14,14,14
129,34,34,34,34,34,34,34,34
130,35,35,35,35,35,35,35,35
131,10,9,9,9,9,9,10,9
132,26,26,26,26,26,26,26,26
133,25,25,25,25,25,25,25,25
