bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
32, 0, 0, 0, 0.2507936507936508, 7.0
64, 0, 0, 0, 0.05263157894736842, 21.0
2, 1, 1, 1, 1.0, 0.0
34, 1, 1, 1, 1.0, 0.0
5, 0, 1, 1, 0.5, 1.0
6, 0, 0, 0, 0.08333333333333333, 10.0
8, 0, 0, 0, 0.06439393939393939, 17.0
9, 0, 1, 1, 0.3333333333333333, 2.0
10, 0, 0, 1, 0.25, 3.0
13, 1, 1, 1, 0.625, 0.0
15, 1, 1, 1, 0.5625, 0.0
50, 0, 0, 0, 0.09821428571428571, 11.0
17, 0, 1, 1, 0.5, 1.0
18, 0, 1, 1, 0.3333333333333333, 3.0
20, 1, 1, 1, 1.0, 0.0
26, 0, 1, 1, 0.3333333333333333, 2.0
38, 1, 1, 1, 1.0, 0.0
42, 0, 1, 1, 0.5, 1.0
62, 1, 1, 1, 0.5909090909090909, 0.0
63, 0, 1, 1, 0.5833333333333333, 2.0
