bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,1, 1, 1, 1.0, 0.0
2,1, 1, 1, 1.0, 0.0
3,1, 1, 1, 1.0, 0.0
4,1, 1, 1, 0.83333333333333326, 0.0
5,0, 1, 1, 0.5, 1.0
6,0, 0, 0, 0.083333333333333329, 10.0
7,0, 0, 1, 0.1875, 4.0
8,0, 0, 0, 0.064393939393939392, 17.0
9,0, 1, 1, 0.33333333333333331, 2.0
10,0, 0, 1, 0.25, 3.0
11,1, 1, 1, 1.0, 0.0
12,1, 1, 1, 1.0, 0.0
13,1, 1, 1, 0.625, 0.0
14,1, 1, 1, 1.0, 0.0
15,1, 1, 1, 0.5625, 0.0
16,1, 1, 1, 1.0, 0.0
17,0, 1, 1, 0.5, 1.0
18,0, 1, 1, 0.33333333333333331, 3.0
19,0, 1, 1, 0.33333333333333331, 2.0
20,1, 1, 1, 1.0, 0.0
21,1, 1, 1, 1.0, 0.0
22,1, 1, 1, 1.0, 0.0
24,1, 1, 1, 1.0, 1.0
26,0, 1, 1, 0.33333333333333331, 2.0
27,0, 0, 0, 0.14285714285714285, 6.0
28,1, 1, 1, 1.0, 0.0
29,1, 1, 1, 1.0, 0.0
30,0, 1, 1, 0.59305555555555556, 1.0
31,1, 1, 1, 1.0, 0.0
32,0, 0, 0, 0.25079365079365079, 7.0
33,1, 1, 1, 1.0, 0.0
34,1, 1, 1, 1.0, 0.0
35,1, 1, 1, 1.0, 0.0
36,1, 1, 1, 0.55555555555555558, 0.0
37,1, 1, 1, 1.0, 0.0
38,1, 1, 1, 1.0, 0.0
39,1, 1, 1, 1.0, 0.0
40,1, 1, 1, 1.0, 0.0
41,0, 1, 1, 0.3666666666666667, 2.0
42,0, 1, 1, 0.5, 1.0
44,0, 1, 1, 0.5, 0.0
45,1, 1, 1, 1.0, 0.0
46,1, 1, 1, 0.65740740740740733, 0.0
47,1, 1, 1, 1.0, 0.0
48,1, 1, 1, 1.0, 0.0
49,1, 1, 1, 1.0, 0.0
50,0, 0, 0, 0.098214285714285712, 11.0
51,1, 1, 1, 1.0, 0.0
52,1, 1, 1, 1.0, 1.0
53,1, 1, 1, 1.0, 0.0
54,1, 1, 1, 1.0, 0.0
55,0, 1, 1, 0.5, 1.0
58,1, 1, 1, 1.0, 0.0
59,1, 1, 1, 1.0, 0.0
60,0, 0, 0, 0.036216779572694112, 71.0
61,0, 1, 1, 0.5, 0.0
62,1, 1, 1, 0.59090909090909094, 0.0
63,0, 1, 1, 0.58333333333333326, 2.0
64,0, 0, 0, 0.052631578947368418, 21.0
65,0, 1, 1, 0.5, 0.0
