bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 1, 1, 1, 1.0, 0.0
3, 1, 1, 1, 1.0, 0.0
4, 1, 1, 1, 0.8333333333333333, 0.0
7, 0, 0, 1, 0.1875, 4.0
11, 1, 1, 1, 1.0, 0.0
12, 1, 1, 1, 1.0, 0.0
14, 1, 1, 1, 1.0, 0.0
16, 1, 1, 1, 1.0, 0.0
19, 0, 1, 1, 0.3333333333333333, 2.0
21, 1, 1, 1, 1.0, 0.0
22, 0, 1, 1, 0.3333333333333333, 2.0
24, 1, 1, 1, 1.0, 1.0
27, 0, 0, 0, 0.14285714285714285, 6.0
28, 1, 1, 1, 1.0, 0.0
29, 1, 1, 1, 1.0, 0.0
30, 1, 1, 1, 0.6763888888888889, 0.0
31, 1, 1, 1, 1.0, 0.0
33, 1, 1, 1, 1.0, 0.0
35, 1, 1, 1, 1.0, 0.0
36, 1, 1, 1, 0.5555555555555556, 0.0
37, 1, 1, 1, 1.0, 0.0
65, 0, 1, 1, 0.5, 0.0
39, 1, 1, 1, 1.0, 0.0
40, 1, 1, 1, 1.0, 0.0
41, 0, 1, 1, 0.3666666666666667, 2.0
44, 0, 1, 1, 0.5, 0.0
45, 1, 1, 1, 1.0, 0.0
46, 1, 1, 1, 0.6574074074074073, 0.0
47, 1, 1, 1, 1.0, 0.0
48, 1, 1, 1, 1.0, 0.0
49, 1, 1, 1, 1.0, 0.0
51, 1, 1, 1, 1.0, 0.0
52, 1, 1, 1, 1.0, 1.0
53, 1, 1, 1, 1.0, 0.0
54, 1, 1, 1, 1.0, 0.0
55, 0, 1, 1, 0.5, 1.0
58, 1, 1, 1, 1.0, 0.0
59, 1, 1, 1, 1.0, 0.0
60, 0, 0, 0, 0.03621677957269411, 71.0
61, 0, 1, 1, 0.5, 0.0
