bug_id,Barinel,DStar,GP13,GP19,Naish2,Ochiai,Tarantula,TarantulaStar
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,2,2,2,2,2,2,2,2
6,12,12,12,12,12,12,12,12
7,4,4,4,4,4,4,4,4
8,18,22,22,22,22,22,18,22
9,8,7,3,3,3,7,8,3
10,8,7,4,4,4,7,8,4
11,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1
15,15,1,1,1,1,1,15,1
16,1,1,1,1,1,1,1,1
17,2,2,2,2,2,2,2,2
18,3,3,3,3,3,3,3,3
19,3,3,3,3,3,3,3,3
20,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1
22,4,3,1,1,1,3,4,1
24,1,1,1,1,1,1,1,1
26,3,3,3,3,3,3,3,3
27,7,7,7,7,7,7,7,7
28,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1
30,2,1,2,2,2,1,2,2
31,2,1,1,1,1,1,2,1
32,6,6,6,6,6,6,6,6
33,1,1,1,1,1,1,1,1
34,19,1,1,1,1,1,19,1
35,1,1,1,1,1,1,1,1
36,4,1,1,1,1,1,4,1
37,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1
41,3,3,3,3,3,3,3,3
42,2,2,2,2,2,2,2,2
44,2,2,2,2,2,2,2,2
45,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1
50,2,6,14,6,14,5,2,8
51,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1,1
55,2,2,2,2,2,2,2,2
58,1,1,1,1,1,1,1,1
59,1,1,1,1,1,1,1,1
60,19,19,19,19,101,19,19,19
61,4,2,2,2,2,4,4,2
62,1,1,1,1,1,1,1,1
63,2,2,2,2,2,2,2,2
64,19,19,19,19,35,19,19,19
65,2,2,2,2,2,2,2,2
