bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
2, 0, 0, 0, 0.125, 6.0
4, 0, 1, 1, 0.41666666666666663, 4.0
6, 0, 0, 0, 0.05473066149986656, 7.0
7, 0, 1, 1, 0.5, 6.0
8, 0, 1, 1, 0.3333333333333333, 1.0
9, 1, 1, 1, 1.0, 0.0
10, 1, 1, 1, 1.0, 0.0
11, 0, 0, 0, 0.14285714285714285, 8.0
14, 0, 1, 1, 0.25806451612903225, 0.0
15, 1, 1, 1, 1.0, 0.0
16, 1, 1, 1, 0.5476190476190477, 0.0
17, 0, 0, 1, 0.25, 3.0
18, 0, 0, 0, 0.08173076923076923, 49.0
19, 0, 0, 0, 0.038461538461538464, 23.0
20, 0, 0, 0, 0.03333333333333333, 46.0
21, 0, 1, 1, 0.3333333333333333, 13.0
22, 0, 0, 0, 0.009493115846707006, 163.0
23, 0, 0, 0, 0.05555555555555555, 17.0
24, 0, 0, 0, 0.05263157894736842, 17.0
28, 0, 0, 0, 0.16666666666666666, 5.0
29, 0, 0, 0, 0.05448275862068966, 24.0
30, 0, 0, 0, 0.07142857142857142, 9.0
31, 0, 1, 1, 0.5, 1.0
32, 0, 0, 0, 0.058823529411764705, 9.0
33, 0, 0, 0, 0.125, 7.0
34, 1, 1, 1, 1.0, 0.0
38, 0, 0, 1, 0.25, 1.0
39, 0, 0, 0, 0.16666666666666666, 2.0
40, 0, 0, 0, 0.125, 7.0
41, 0, 0, 1, 0.2, 3.0
42, 0, 0, 0, 0.1111111111111111, 8.0
43, 0, 0, 1, 0.25, 2.0
44, 0, 0, 0, 0.16666666666666666, 23.0
48, 0, 0, 0, 0.04, 24.0
49, 0, 0, 1, 0.1358695652173913, 3.0
50, 0, 0, 0, 0.05555555555555555, 17.0
51, 0, 0, 0, 0.04, 24.0
52, 0, 1, 1, 0.5, 0.0
54, 0, 0, 1, 0.25, 2.0
55, 1, 1, 1, 1.0, 0.0
57, 0, 0, 1, 0.2, 2.0
58, 0, 0, 0, 0.09090909090909091, 22.0
59, 1, 1, 1, 1.0, 0.0
60, 0, 0, 0, 0.05, 18.0
61, 1, 1, 1, 1.0, 0.0
62, 0, 0, 0, 0.060833333333333336, 20.0
64, 0, 0, 0, 0.06666666666666667, 10.0
65, 0, 0, 0, 0.033634821933295644, 28.0
66, 1, 1, 1, 1.0, 0.0
67, 0, 0, 1, 0.2, 4.0
68, 0, 0, 1, 0.19166666666666665, 10.0
69, 0, 1, 1, 0.3333333333333333, 4.0
70, 0, 1, 1, 0.5, 0.0
71, 0, 0, 0, 0.06340579710144928, 22.0
72, 1, 1, 1, 1.0, 1.0
73, 1, 1, 1, 1.0, 1.0
74, 0, 0, 0, 0.016129032258064516, 57.0
75, 1, 1, 1, 1.0, 1.0
76, 0, 0, 0, 0.07261904761904761, 20.0
77, 0, 0, 1, 0.24285714285714285, 2.0
78, 0, 0, 1, 0.25, 2.0
79, 0, 1, 1, 0.3333333333333333, 4.0
80, 0, 0, 0, 0.008264462809917356, 103.0
81, 0, 0, 0, 0.21428571428571427, 6.0
82, 0, 0, 0, 0.03225806451612903, 25.0
83, 0, 0, 1, 0.20192307692307693, 3.0
84, 0, 1, 1, 0.3333333333333333, 2.0
85, 0, 0, 1, 0.25, 2.0
86, 1, 1, 1, 1.0, 0.0
87, 0, 0, 0, 0.02857142857142857, 25.0
88, 0, 0, 0, 0.125, 5.0
95, 0, 0, 1, 0.25, 2.0
97, 0, 1, 1, 0.5, 0.0
100, 0, 1, 1, 0.5, 0.0
102, 1, 1, 1, 1.0, 0.0
103, 0, 0, 1, 0.2, 4.0
106, 1, 1, 1, 1.0, 0.0
