bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 0, 0, 0.19642857142857142, 6.0
2,0, 0, 0, 0.125, 6.0
3,0, 0, 0, 0.045454545454545456, 41.0
4,0, 1, 1, 0.41666666666666663, 4.0
5,0, 0, 0, 0.016666666666666666, 47.0
6,0, 0, 0, 0.052095168144643399, 8.0
7,0, 1, 1, 0.5, 6.0
8,0, 1, 1, 0.33333333333333331, 1.0
9,1, 1, 1, 1.0, 0.0
10,1, 1, 1, 1.0, 0.0
11,0, 0, 0, 0.14285714285714285, 8.0
14,0, 1, 1, 0.26923076923076922, 0.0
15,1, 1, 1, 1.0, 0.0
16,1, 1, 1, 0.51063829787234039, 0.0
17,0, 0, 1, 0.25, 3.0
18,0, 0, 0, 0.081730769230769232, 49.0
19,0, 0, 0, 0.038461538461538464, 23.0
20,0, 0, 0, 0.033333333333333333, 46.0
21,0, 0, 0, 0.058823529411764705, 15.0
22,0, 0, 0, 0.014793529161345253, 118.0
23,0, 0, 0, 0.055555555555555552, 17.0
24,0, 0, 0, 0.052631578947368418, 17.0
25,0, 1, 1, 0.5, 1.0
26,0, 1, 1, 0.5, 0.0
27,1, 1, 1, 1.0, 0.0
28,0, 0, 0, 0.16666666666666666, 5.0
29,0, 0, 0, 0.063894523326572, 16.0
30,0, 0, 0, 0.071428571428571425, 9.0
31,0, 1, 1, 0.5, 1.0
32,0, 0, 0, 0.058823529411764705, 9.0
33,0, 0, 0, 0.125, 7.0
34,1, 1, 1, 1.0, 0.0
35,0, 0, 1, 0.1875, 13.0
36,0, 1, 1, 0.58333333333333326, 1.0
37,0, 0, 0, 0.11858974358974358, 11.0
38,0, 0, 1, 0.25, 1.0
39,0, 0, 0, 0.16666666666666666, 2.0
40,0, 0, 0, 0.125, 7.0
41,0, 0, 1, 0.20000000000000001, 3.0
42,0, 0, 0, 0.1111111111111111, 8.0
43,0, 0, 0, 0.14285714285714285, 7.0
44,0, 0, 0, 0.16666666666666666, 23.0
45,1, 1, 1, 1.0, 0.0
46,0, 0, 0, 0.021276595744680851, 49.0
47,0, 1, 1, 0.42888888888888888, 1.0
48,0, 0, 0, 0.040000000000000001, 24.0
49,0, 0, 1, 0.1553030303030303, 3.0
50,0, 0, 0, 0.055555555555555552, 17.0
51,0, 0, 0, 0.040000000000000001, 24.0
52,0, 1, 1, 0.5, 0.0
53,1, 1, 1, 1.0, 0.0
54,0, 0, 1, 0.25, 2.0
55,1, 1, 1, 1.0, 0.0
56,0, 0, 0, 0.024390243902439025, 29.0
57,0, 0, 1, 0.20000000000000001, 2.0
58,0, 0, 0, 0.090909090909090912, 22.0
59,1, 1, 1, 1.0, 0.0
60,0, 0, 0, 0.050000000000000003, 18.0
61,1, 1, 1, 1.0, 0.0
62,0, 0, 0, 0.060833333333333336, 20.0
63,0, 1, 1, 0.5, 0.0
64,0, 0, 0, 0.047619047619047616, 12.0
65,0, 0, 0, 0.038980509745127435, 28.0
66,1, 1, 1, 0.91666666666666663, 1.0
67,0, 0, 1, 0.20000000000000001, 4.0
68,0, 0, 0, 0.097619047619047619, 11.0
69,0, 1, 1, 0.33333333333333331, 4.0
70,0, 1, 1, 0.5, 0.0
71,0, 0, 0, 0.062727272727272729, 21.0
72,1, 1, 1, 1.0, 1.0
73,1, 1, 1, 1.0, 1.0
74,0, 0, 0, 0.016129032258064516, 57.0
75,1, 1, 1, 1.0, 1.0
76,0, 0, 0, 0.072619047619047611, 20.0
77,0, 0, 1, 0.24285714285714285, 2.0
78,0, 0, 1, 0.25, 2.0
79,0, 1, 1, 0.33333333333333331, 4.0
80,0, 0, 0, 0.0090909090909090905, 82.0
81,0, 0, 0, 0.21428571428571427, 6.0
82,0, 0, 0, 0.032258064516129031, 25.0
83,0, 0, 1, 0.20192307692307693, 3.0
84,0, 1, 1, 0.33333333333333331, 2.0
85,0, 0, 1, 0.25, 2.0
86,1, 1, 1, 1.0, 0.0
87,0, 0, 0, 0.028571428571428571, 25.0
88,0, 0, 0, 0.125, 5.0
89,0, 0, 0, 0.16666666666666666, 16.0
90,1, 1, 1, 1.0, 0.0
91,1, 1, 1, 1.0, 0.0
92,1, 1, 1, 0.75555555555555554, 0.0
93,1, 1, 1, 1.0, 0.0
94,1, 1, 1, 1.0, 0.0
95,0, 0, 1, 0.25, 2.0
96,0, 1, 1, 0.5, 1.0
97,0, 1, 1, 0.5, 0.0
98,1, 1, 1, 1.0, 0.0
99,1, 1, 1, 1.0, 0.0
100,0, 1, 1, 0.5, 0.0
101,1, 1, 1, 1.0, 0.0
102,1, 1, 1, 1.0, 0.0
103,0, 0, 1, 0.20000000000000001, 4.0
105,0, 0, 0, 0.083333333333333329, 31.0
106,1, 1, 1, 1.0, 0.0
