bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 1, 1, 1, 1.0, 0.0
3, 0, 0, 0, 0.045454545454545456, 41.0
5, 0, 0, 0, 0.016666666666666666, 47.0
99, 1, 1, 1, 1.0, 0.0
90, 1, 1, 1, 1.0, 0.0
25, 0, 1, 1, 0.5, 1.0
89, 0, 0, 0, 0.16666666666666666, 16.0
26, 0, 1, 1, 0.5, 0.0
91, 1, 1, 1, 1.0, 0.0
92, 1, 1, 1, 0.7555555555555555, 0.0
93, 1, 1, 1, 1.0, 0.0
94, 1, 1, 1, 1.0, 0.0
101, 1, 1, 1, 1.0, 0.0
96, 0, 1, 1, 0.5, 1.0
98, 1, 1, 1, 1.0, 0.0
35, 0, 0, 1, 0.1875, 13.0
36, 1, 1, 1, 1.0, 0.0
37, 0, 0, 0, 0.1736111111111111, 7.0
105, 0, 0, 0, 0.08333333333333333, 31.0
45, 1, 1, 1, 1.0, 0.0
46, 0, 0, 0, 0.02127659574468085, 49.0
47, 0, 1, 1, 0.2622222222222222, 1.0
27, 1, 1, 1, 1.0, 0.0
53, 1, 1, 1, 1.0, 0.0
56, 0, 0, 0, 0.024390243902439025, 29.0
63, 0, 1, 1, 0.5, 0.0
