bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 0, 0, 0.19642857142857142, 6.0
3, 0, 0, 0, 0.020833333333333332, 46.0
5, 0, 0, 0, 0.024390243902439025, 39.0
99, 1, 1, 1, 1.0, 0.0
90, 1, 1, 1, 1.0, 0.0
25, 0, 1, 1, 0.5, 1.0
89, 0, 0, 0, 0.06666666666666667, 7.0
26, 0, 1, 1, 0.5, 0.0
91, 1, 1, 1, 1.0, 0.0
92, 1, 1, 1, 0.7555555555555555, 0.0
93, 1, 1, 1, 1.0, 0.0
94, 1, 1, 1, 1.0, 0.0
101, 1, 1, 1, 1.0, 0.0
96, 0, 1, 1, 0.5, 1.0
98, 1, 1, 1, 1.0, 0.0
35, 0, 0, 0, 0.07670454545454546, 19.0
36, 0, 1, 1, 0.5833333333333333, 1.0
37, 0, 0, 0, 0.11858974358974358, 11.0
105, 0, 0, 0, 0.02564102564102564, 47.0
45, 1, 1, 1, 1.0, 0.0
46, 0, 0, 0, 0.047619047619047616, 25.0
47, 0, 1, 1, 0.43434343434343425, 1.0
27, 1, 1, 1, 1.0, 0.0
53, 1, 1, 1, 1.0, 0.0
56, 0, 0, 0, 0.043478260869565216, 20.0
63, 0, 1, 1, 0.5, 0.0
