bug_id,Barinel,DStar,GP13,GP19,Naish2,Ochiai,Tarantula,TarantulaStar
1,1,2,7,7,7,1,1,7
2,8,8,8,8,8,8,8,8
3,22,22,22,22,48,22,22,22
4,1,1,3,1,3,1,1,3
5,60,60,60,60,41,60,60,60
6,21,10,9,11,9,15,21,10
7,2,2,2,2,2,2,2,2
8,3,3,3,3,3,3,3,3
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,7,7,7,7,7,7,7,7
14,2,2,2,2,2,2,2,2
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,4,4,4,4,4,4,4,4
18,8,8,8,8,8,8,8,8
19,26,26,26,26,26,26,26,26
20,30,30,30,30,30,30,30,30
21,24,3,3,23,3,3,24,17
22,58,58,58,35,126,58,58,58
23,18,18,18,18,18,18,18,18
24,19,19,19,19,19,19,19,19
25,2,2,2,2,2,2,2,2
26,2,2,2,2,2,2,2,2
27,1,1,1,1,1,1,1,1
28,6,6,6,6,6,6,6,6
29,2,2,25,18,25,1,2,17
30,14,14,14,14,14,14,14,14
31,3,2,2,2,2,2,3,2
32,17,17,17,17,17,17,17,17
33,8,8,8,8,8,8,8,8
34,1,1,1,1,1,1,1,1
35,4,4,4,4,16,4,4,4
36,1,1,2,1,2,1,1,2
37,8,6,12,12,12,4,8,12
38,4,4,4,4,4,4,4,4
39,6,6,6,6,6,6,6,6
40,8,8,8,8,8,8,8,8
41,5,5,5,5,5,5,5,5
42,9,9,9,9,9,9,9,9
43,21,7,4,7,4,17,21,7
44,6,6,6,6,6,6,6,6
45,1,1,1,1,1,1,1,1
46,47,47,47,47,21,47,47,47
47,2,2,2,2,2,2,2,2
48,25,25,25,25,25,25,25,25
49,4,4,4,4,4,4,4,4
50,18,18,18,18,18,18,18,18
51,25,25,25,25,25,25,25,25
52,2,2,2,2,2,2,2,2
53,1,1,1,1,1,1,1,1
54,4,4,4,4,4,4,4,4
55,1,1,1,1,1,1,1,1
56,41,41,41,17,23,41,41,41
57,5,5,5,5,5,5,5,5
58,11,11,11,11,11,11,11,11
59,1,1,1,1,1,1,1,1
60,20,20,20,20,20,20,20,20
61,1,1,1,1,1,1,1,1
62,24,24,24,32,24,24,24,24
63,2,2,2,2,2,2,2,2
64,10,10,15,22,15,10,10,21
65,29,29,29,29,29,29,29,29
66,33,1,1,1,1,1,33,1
67,5,5,5,5,5,5,5,5
68,7,7,4,51,4,7,7,10
69,3,3,3,3,3,3,3,3
70,2,2,2,2,2,2,2,2
71,2,2,23,16,23,3,2,22
72,1,1,1,1,1,1,1,1
73,1,1,1,1,1,1,1,1
74,62,62,62,62,62,62,62,62
75,1,1,1,1,1,1,1,1
76,25,20,20,20,20,20,25,20
77,5,5,5,5,5,5,5,5
78,4,4,4,4,4,4,4,4
79,3,3,3,11,3,3,3,3
80,110,110,110,103,121,110,110,110
81,7,7,7,7,7,7,7,7
82,31,31,31,76,31,31,31,31
83,4,4,4,4,4,4,4,4
84,14,3,3,3,3,5,14,3
85,4,4,4,4,4,4,4,4
86,6,2,1,1,1,2,6,1
87,35,35,35,59,35,35,35,35
88,8,8,8,8,8,8,8,8
89,6,6,6,3,15,6,6,6
90,1,1,1,1,1,1,1,1
91,1,1,1,1,1,1,1,1
92,1,1,1,1,1,1,1,1
93,1,1,1,1,1,1,1,1
94,1,1,1,1,1,1,1,1
95,4,4,4,4,4,4,4,4
96,2,2,2,2,2,2,2,2
97,2,2,2,2,2,2,2,2
98,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1
100,2,2,2,2,2,2,2,2
101,1,1,1,1,1,1,1,1
102,4,1,1,1,1,1,4,1
103,5,5,5,5,5,5,5,5
105,12,12,12,12,39,12,12,12
106,1,1,1,1,1,1,1,1
