bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 1, 1, 0.5833333333333333, 0.0
2, 1, 1, 1, 0.6684555754323197, 0.0
3, 1, 1, 1, 0.14015816551412796, 0.0
4, 0, 0, 1, 0.25, 3.0
5, 1, 1, 1, 1.0, 0.0
6, 0, 0, 0, 0.047839506172839504, 11.0
7, 0, 0, 1, 0.2, 3.0
8, 1, 1, 1, 1.0, 0.0
9, 1, 1, 1, 1.0, 0.0
10, 0, 0, 0, 0.027777777777777776, 27.0
12, 0, 0, 0, 0.04008516217169046, 59.0
13, 0, 0, 0, 0.08125, 15.0
14, 0, 0, 0, 0.03125, 32.0
16, 0, 0, 0, 0.011363636363636364, 87.0
17, 0, 0, 1, 0.25, 2.0
18, 0, 0, 0, 0.16666666666666666, 5.0
19, 0, 0, 0, 0.0125, 79.0
20, 0, 0, 0, 0.016666666666666666, 58.0
21, 0, 0, 0, 0.125, 6.0
22, 0, 0, 0, 0.001379310344827586, 630.0
23, 1, 1, 1, 1.0, 0.0
24, 0, 0, 0, 0.02127659574468085, 45.0
25, 0, 1, 1, 0.3333333333333333, 2.0
26, 1, 1, 1, 0.2562774760584642, 0.0
27, 0, 0, 0, 0.02857142857142857, 26.0
