bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 1, 1, 0.58333333333333326, 0.0
2,1, 1, 1, 0.67129629629629628, 0.0
3,1, 1, 1, 0.14160445817720602, 0.0
4,0, 0, 1, 0.25, 3.0
5,1, 1, 1, 1.0, 0.0
6,1, 1, 1, 0.50662251655629142, 0.0
7,0, 0, 1, 0.20000000000000001, 3.0
8,1, 1, 1, 1.0, 0.0
9,1, 1, 1, 1.0, 0.0
10,0, 0, 0, 0.027777777777777776, 27.0
12,0, 0, 0, 0.041847551232297289, 56.0
13,0, 0, 0, 0.081250000000000003, 15.0
14,0, 0, 0, 0.052631578947368418, 19.0
15,0, 0, 1, 0.25, 2.0
16,0, 0, 0, 0.030303030303030304, 32.0
17,0, 0, 1, 0.25, 2.0
18,0, 0, 0, 0.16666666666666666, 5.0
19,0, 0, 0, 0.012500000000000001, 79.0
20,0, 0, 0, 0.016666666666666666, 58.0
21,0, 0, 0, 0.125, 6.0
22,0, 0, 0, 0.0030211480362537764, 434.0
23,1, 1, 1, 1.0, 0.0
24,0, 0, 0, 0.021276595744680851, 45.0
25,0, 0, 1, 0.25, 3.0
26,1, 1, 1, 0.25574229082935634, 0.0
27,0, 0, 0, 0.028571428571428571, 26.0
