bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 1, 1, 0.58333333333333326, 0.0
2,1, 1, 1, 0.6684555754323197, 0.0
3,1, 1, 1, 0.14015816551412796, 0.0
4,0, 0, 1, 0.25, 3.0
5,1, 1, 1, 1.0, 0.0
6,0, 0, 0, 0.047839506172839504, 11.0
7,0, 0, 1, 0.20000000000000001, 3.0
8,1, 1, 1, 1.0, 0.0
9,1, 1, 1, 1.0, 0.0
10,0, 0, 0, 0.027777777777777776, 27.0
12,0, 0, 0, 0.040085162171690461, 59.0
13,0, 0, 0, 0.081250000000000003, 15.0
14,0, 0, 0, 0.03125, 32.0
15,0, 0, 1, 0.25, 2.0
16,0, 0, 0, 0.011363636363636364, 87.0
17,0, 0, 1, 0.25, 2.0
18,0, 0, 0, 0.16666666666666666, 5.0
19,0, 0, 0, 0.012500000000000001, 79.0
20,0, 0, 0, 0.016666666666666666, 58.0
21,0, 0, 0, 0.125, 6.0
22,0, 0, 0, 0.0013793103448275861, 630.0
23,1, 1, 1, 1.0, 0.0
24,0, 0, 0, 0.021276595744680851, 45.0
25,0, 1, 1, 0.33333333333333331, 2.0
26,1, 1, 1, 0.25627747605846418, 0.0
27,0, 0, 0, 0.028571428571428571, 26.0
