bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 1, 1, 0.58333333333333326, 0.0
2,1, 1, 1, 0.67105263157894735, 0.0
3,1, 1, 1, 0.61192043287708597, 0.0
4,0, 0, 1, 0.25, 3.0
5,0, 0, 0, 0.071428571428571425, 13.0
6,0, 0, 0, 0.04044117647058823, 98.0
7,0, 0, 1, 0.20000000000000001, 3.0
8,1, 1, 1, 1.0, 0.0
9,1, 1, 1, 1.0, 0.0
10,0, 0, 0, 0.047619047619047616, 28.0
12,0, 0, 0, 0.069049364613880754, 30.0
13,0, 0, 0, 0.081250000000000003, 15.0
14,0, 0, 0, 0.055555555555555552, 24.0
15,0, 0, 1, 0.25, 2.0
16,0, 1, 1, 0.33333333333333331, 6.0
17,0, 0, 1, 0.25, 2.0
18,0, 0, 0, 0.16666666666666666, 5.0
19,0, 0, 0, 0.012500000000000001, 79.0
20,0, 0, 0, 0.016666666666666666, 58.0
21,0, 0, 0, 0.024390243902439025, 39.0
22,0, 0, 0, 0.0012594458438287153, 436.0
23,1, 1, 1, 1.0, 0.0
24,0, 0, 0, 0.015384615384615385, 64.0
25,0, 0, 0, 0.047619047619047616, 20.0
26,0, 0, 0, 0.0082029244572809547, 66.0
27,0, 0, 0, 0.028571428571428571, 26.0
