bug_id,Barinel,DStar,GP13,GP19,Naish2,Ochiai,Tarantula,TarantulaStar
1,2,2,2,2,2,2,2,2
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,4,4,4,4,4,4,4,4
5,14,1,1,1,1,1,14,1
6,24,1,12,1,12,1,24,1
7,5,5,5,5,5,5,5,5
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,21,36,36,36,36,36,21,36
12,31,55,60,57,60,23,31,60
13,16,16,16,16,16,16,16,16
14,18,1,32,19,32,1,18,15
15,4,4,4,4,4,4,4,4
16,3,7,88,33,88,6,3,28
17,4,4,4,4,4,4,4,4
18,6,6,6,6,6,6,6,6
19,80,80,80,80,80,80,80,80
20,60,60,60,60,60,60,60,60
21,41,44,8,8,8,45,41,8
22,794,795,794,331,725,794,794,794
23,1,1,1,1,1,1,1,1
24,65,52,47,47,47,53,65,47
25,21,11,3,4,3,16,21,3
26,67,1,1,1,1,1,67,1
27,35,35,35,35,35,35,35,35
