bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 0, 1, 0.25, 26.0
2, 0, 0, 0, 0.03214616096207215, 45.0
3, 1, 1, 1, 1.0, 0.0
4, 0, 0, 0, 0.1, 9.0
5, 0, 1, 1, 0.5, 1.0
7, 0, 0, 0, 0.011494252873563218, 46.0
9, 1, 1, 1, 1.0, 0.0
12, 0, 0, 0, 0.005813953488372093, 103.0
13, 0, 0, 0, 0.05555555555555555, 12.0
14, 0, 0, 0, 0.06283369408369409, 36.0
15, 0, 0, 0, 0.008928571428571428, 88.0
16, 0, 0, 1, 0.12941176470588237, 3.0
17, 1, 1, 1, 1.0, 0.0
18, 1, 1, 1, 1.0, 0.0
19, 0, 0, 0, 0.03982930298719772, 36.0
20, 1, 1, 1, 1.0, 1.0
21, 0, 1, 1, 0.3, 1.0
22, 0, 0, 0, 0.14227304953111405, 8.0
25, 0, 0, 0, 0.002920221154028841, 509.0
26, 0, 0, 0, 0.007462686567164179, 77.0
