bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 0, 1, 0.25, 26.0
2, 0, 0, 0, 0.04091591591591592, 35.0
3, 1, 1, 1, 1.0, 0.0
4, 0, 0, 0, 0.009174311926605505, 115.0
5, 0, 1, 1, 0.5, 1.0
7, 0, 0, 0, 0.04, 16.0
9, 1, 1, 1, 1.0, 0.0
12, 0, 0, 0, 0.022222222222222223, 34.0
13, 0, 0, 0, 0.05555555555555555, 12.0
14, 0, 1, 1, 0.2583333333333333, 6.0
15, 0, 0, 0, 0.008928571428571428, 88.0
16, 0, 1, 1, 0.375, 0.0
17, 1, 1, 1, 1.0, 0.0
18, 1, 1, 1, 0.9166666666666666, 0.0
19, 1, 1, 1, 1.0, 0.0
20, 1, 1, 1, 1.0, 1.0
21, 0, 1, 1, 0.3, 1.0
22, 0, 1, 1, 0.5560897435897436, 4.0
25, 0, 0, 0, 0.07335907335907335, 4.0
26, 0, 0, 0, 0.0034602076124567475, 319.0
