bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 0, 1, 0.25, 26.0
2,0, 0, 0, 0.032640232108317214, 43.0
3,1, 1, 1, 1.0, 0.0
4,0, 0, 0, 0.020408163265306121, 47.0
5,0, 1, 1, 0.5, 1.0
6,0, 0, 1, 0.25, 5.0
7,0, 0, 0, 0.040000000000000001, 16.0
8,1, 1, 1, 1.0, 0.0
9,1, 1, 1, 1.0, 0.0
10,1, 1, 1, 1.0, 0.0
11,1, 1, 1, 1.0, 0.0
12,0, 0, 0, 0.022222222222222223, 34.0
13,0, 0, 0, 0.055555555555555552, 12.0
14,0, 0, 0, 0.073043442555637689, 32.0
15,0, 0, 0, 0.0089285714285714281, 88.0
16,0, 0, 0, 0.15476190476190477, 3.0
17,1, 1, 1, 1.0, 0.0
18,1, 1, 1, 1.0, 0.0
19,1, 1, 1, 1.0, 0.0
20,1, 1, 1, 1.0, 1.0
21,0, 1, 1, 0.29999999999999999, 1.0
22,0, 0, 0, 0.13354236343366777, 12.0
24,1, 1, 1, 1.0, 0.0
25,0, 0, 0, 0.0028127677351289732, 528.0
26,0, 0, 0, 0.007462686567164179, 77.0
