bug_id,Barinel,DStar,GP13,GP19,Naish2,Ochiai,Tarantula,TarantulaStar
1,4,4,4,4,4,4,4,4
2,36,44,52,46,52,43,36,52
3,1,1,1,1,1,1,1,1
4,130,49,10,10,10,49,109,17
5,2,2,2,2,2,2,2,2
6,18,4,4,21,4,4,18,8
7,25,25,25,87,25,25,25,25
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
12,45,45,45,172,45,45,45,45
13,18,18,18,18,18,18,18,18
14,3,27,53,33,53,3,3,53
15,112,112,112,112,112,112,112,112
16,2,7,7,5,7,7,2,7
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
19,1,1,75,37,75,1,1,54
20,1,1,1,1,1,1,1,1
21,2,2,2,2,2,2,2,2
22,2,13,13,7,13,9,2,13
24,1,1,1,1,1,1,1,1
25,7,526,526,511,526,511,7,522
26,289,134,134,134,134,134,289,134
