bug_id,Barinel,DStar,GP13,GP19,Naish2,Ochiai,Tarantula,TarantulaStar
1,156,19,19,19,19,31,156,19
2,1,1,1,1,1,1,1,1
3,184,186,186,186,186,186,184,186
4,70,68,61,61,61,68,76,61
5,120,120,120,120,120,120,120,120
6,117,109,6,79,6,109,117,45
7,1,1,1,1,1,1,1,1
8,211,211,211,783,211,211,211,211
9,3,3,3,70,3,3,3,3
10,115,115,115,115,115,115,115,115
11,279,249,231,282,231,246,279,231
12,512,512,512,863,512,512,512,512
13,635,635,635,635,635,635,635,635
14,1180,474,372,1775,372,544,1130,374
15,61,61,61,61,61,61,61,61
16,86,57,7,7,7,62,86,7
17,366,366,366,366,366,366,366,366
18,923,923,923,923,923,923,923,923
19,246,246,246,246,246,246,246,246
20,92,92,92,92,92,92,92,92
21,752,752,752,693,752,752,752,752
22,752,752,752,693,752,752,752,752
23,2,2,2,2,2,2,2,2
24,157,157,157,157,157,157,157,157
25,71,71,71,71,71,71,71,71
26,35,22,22,22,22,22,35,22
27,2,5,6,5,6,5,2,5
29,180,49,35,35,35,50,180,35
30,145,118,67,95,67,126,145,93
31,646,646,646,646,646,646,646,646
32,20,18,6,6,6,18,20,6
33,58,58,58,58,58,58,58,58
34,20,20,20,147,20,20,20,20
35,157,157,157,157,157,157,157,157
36,654,654,654,654,654,654,654,654
37,286,286,286,286,286,286,286,286
38,25,25,25,25,25,25,25,25
39,98,9,9,165,9,9,98,44
40,596,240,187,187,187,246,596,187
41,436,419,418,444,418,419,436,419
42,13,13,13,13,13,13,13,13
43,986,923,931,1105,931,1098,986,931
44,448,448,448,1297,448,448,448,448
45,94,94,94,94,94,94,94,94
46,1,1,1,1,1,1,1,1
47,284,440,440,440,440,440,284,707
48,247,247,247,247,247,247,247,247
49,508,172,57,215,57,176,503,152
50,329,441,523,354,523,441,329,440
51,23,23,23,23,23,23,23,23
52,10,10,10,10,10,10,10,10
53,18,18,18,18,18,18,18,18
54,440,414,156,462,156,414,440,206
55,478,478,478,904,478,478,478,478
56,114,56,1,1,1,56,69,1
57,4,4,4,4,4,4,4,4
58,551,551,551,280,551,551,551,551
59,2085,2085,2085,2085,2085,2085,2085,2085
60,391,356,9,9,9,364,391,9
61,29,28,27,27,27,28,29,27
62,7,7,7,7,7,7,7,7
63,7,7,7,7,7,7,7,7
64,175,175,175,175,175,175,175,175
65,11,11,11,11,11,11,11,11
66,444,534,355,567,355,534,444,355
67,671,671,671,1068,671,671,671,671
68,3,3,3,3,3,3,3,3
69,137,74,7,7,7,85,137,7
70,338,285,187,499,187,300,338,193
71,149,108,96,148,96,89,149,96
72,36,36,36,36,36,36,36,36
73,13,13,13,13,13,13,13,13
74,24,7,3,3,3,15,28,3
75,9,9,9,9,9,9,9,9
76,32,27,13,13,13,27,32,13
77,12,12,12,12,12,12,12,12
78,42,42,42,42,42,42,42,42
79,15,13,550,15,550,13,15,15
80,14,23,428,130,428,27,14,435
81,6,6,6,6,6,6,6,6
82,104,76,27,1281,27,76,104,27
83,2,2,2,2,2,2,2,2
84,13,13,13,13,13,13,13,13
85,77,68,49,49,49,68,77,49
86,127,8,3,3,3,9,127,3
87,42,42,42,42,42,42,42,42
88,66,11,11,11,11,11,66,11
89,65,107,87,83,87,106,65,87
90,7,7,6,6,6,7,7,6
91,407,407,407,680,407,407,407,407
92,567,567,567,488,567,567,567,567
93,567,567,567,488,567,567,567,567
94,36,15,13,13,13,17,36,13
95,570,552,401,678,401,551,570,401
96,42,42,42,42,42,42,42,42
97,5,5,5,5,5,5,5,5
98,204,204,204,204,204,204,204,204
99,253,520,382,754,382,563,253,383
100,28,7,1,7,1,9,28,7
101,1218,1218,1218,1286,1218,1218,1218,1218
102,850,850,850,850,850,850,850,850
103,357,139,52,446,52,151,357,77
104,4,4,4,4,4,4,4,4
105,37,37,37,37,37,37,37,37
106,11,23,652,117,652,18,11,691
107,1458,1458,1458,1458,1458,1458,1458,1458
108,310,310,310,310,310,310,310,310
109,2,2,2,2,2,2,2,2
110,76,76,87,119,87,76,76,87
111,1,1,1,1,1,1,1,1
112,105,89,67,67,67,86,105,67
113,10,10,10,10,10,10,10,10
114,127,127,127,127,127,127,127,127
115,167,46,8,13,8,57,167,11
116,60,8,4,4,4,16,60,5
117,24,24,24,24,24,24,24,24
118,69,69,67,67,67,69,69,67
119,976,976,976,916,976,976,976,976
120,197,197,197,197,197,197,197,197
121,215,215,215,215,215,215,215,215
122,1,1,1,1,1,1,1,1
123,639,639,639,956,639,639,639,639
124,2,2,2,2,2,2,2,2
125,72,72,72,72,72,72,72,72
126,603,201,714,264,714,715,603,715
127,289,203,178,261,178,204,289,201
128,4,4,4,4,4,4,4,4
129,839,839,839,839,839,839,839,839
130,421,421,421,760,421,421,421,421
131,546,343,343,374,343,280,546,280
132,95,95,95,95,95,95,95,95
133,24,24,24,24,24,24,24,24
