bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 1, 1, 0.5, 1.0
2,1, 1, 1, 1.0, 0.0
3,0, 1, 1, 0.33333333333333331, 2.0
4,1, 1, 1, 0.83333333333333326, 0.0
5,0, 1, 1, 0.5, 1.0
6,0, 0, 0, 0.052631578947368418, 15.0
7,0, 0, 0, 0.095833333333333326, 14.0
8,0, 0, 0, 0.095833333333333326, 12.0
9,0, 0, 0, 0.058823529411764705, 16.0
10,0, 0, 0, 0.043478260869565216, 20.0
11,0, 1, 1, 0.5, 1.0
12,1, 1, 1, 1.0, 0.0
13,1, 1, 1, 0.83333333333333326, 0.0
14,1, 1, 1, 1.0, 0.0
15,1, 1, 1, 0.51587301587301582, 0.0
16,0, 1, 1, 0.5, 2.0
17,0, 0, 1, 0.20000000000000001, 4.0
18,0, 0, 0, 0.020833333333333332, 49.0
19,0, 1, 1, 0.33333333333333331, 2.0
20,0, 0, 1, 0.29166666666666663, 2.0
21,1, 1, 1, 1.0, 0.0
22,0, 1, 1, 0.5, 1.0
24,1, 1, 1, 1.0, 0.0
26,0, 1, 1, 0.5, 1.0
27,0, 0, 0, 0.0625, 18.0
28,0, 1, 1, 0.33333333333333331, 2.0
29,1, 1, 1, 1.0, 0.0
30,1, 1, 1, 0.60449735449735453, 0.0
31,1, 1, 1, 1.0, 0.0
32,0, 0, 0, 0.13208360267183797, 9.0
33,1, 1, 1, 1.0, 0.0
34,0, 0, 0, 0.084967320261437912, 16.0
35,1, 1, 1, 1.0, 0.0
36,0, 0, 1, 0.17499999999999999, 3.0
37,1, 1, 1, 1.0, 0.0
38,0, 0, 0, 0.1111111111111111, 6.0
39,0, 1, 1, 0.5, 1.0
40,1, 1, 1, 1.0, 0.0
41,0, 0, 1, 0.32500000000000001, 3.0
42,0, 0, 1, 0.20000000000000001, 4.0
44,0, 1, 1, 0.5, 0.0
45,0, 1, 1, 0.33333333333333331, 1.0
46,1, 1, 1, 0.65740740740740733, 0.0
47,0, 1, 1, 0.58333333333333326, 1.0
48,1, 1, 1, 1.0, 0.0
49,1, 1, 1, 1.0, 0.0
50,0, 0, 0, 0.10882352941176471, 12.0
51,1, 1, 1, 1.0, 0.0
52,0, 1, 1, 0.33333333333333331, 2.0
53,0, 1, 1, 0.5, 1.0
54,0, 1, 1, 0.5, 1.0
55,0, 1, 1, 0.33333333333333331, 1.0
58,0, 1, 1, 0.5, 0.0
59,1, 1, 1, 1.0, 0.0
60,1, 1, 1, 0.52777777777777779, 0.0
61,0, 1, 1, 0.5, 0.0
62,0, 1, 1, 0.28999999999999998, 1.0
63,0, 1, 1, 0.58333333333333326, 1.0
64,0, 0, 0, 0.1111111111111111, 8.0
65,0, 1, 1, 0.5, 1.0
