bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 1, 1, 0.5, 1.0
3, 0, 1, 1, 0.3333333333333333, 2.0
4, 1, 1, 1, 0.8333333333333333, 0.0
7, 0, 0, 0, 0.09583333333333333, 14.0
11, 0, 1, 1, 0.5, 1.0
12, 1, 1, 1, 1.0, 0.0
14, 1, 1, 1, 1.0, 0.0
16, 0, 1, 1, 0.5, 2.0
19, 0, 1, 1, 0.3333333333333333, 2.0
21, 1, 1, 1, 1.0, 0.0
22, 1, 1, 1, 1.0, 0.0
24, 1, 1, 1, 1.0, 0.0
27, 0, 0, 0, 0.0625, 18.0
28, 0, 1, 1, 0.3333333333333333, 2.0
29, 1, 1, 1, 1.0, 0.0
30, 0, 1, 1, 0.49338624338624343, 2.0
31, 1, 1, 1, 1.0, 0.0
33, 1, 1, 1, 1.0, 0.0
35, 1, 1, 1, 1.0, 0.0
36, 0, 0, 1, 0.175, 3.0
37, 1, 1, 1, 1.0, 0.0
65, 0, 1, 1, 0.5, 1.0
39, 0, 1, 1, 0.5, 1.0
40, 1, 1, 1, 1.0, 0.0
41, 0, 0, 1, 0.325, 3.0
44, 0, 1, 1, 0.5, 0.0
45, 0, 1, 1, 0.3333333333333333, 1.0
46, 1, 1, 1, 0.5970410628019324, 0.0
47, 0, 0, 1, 0.26666666666666666, 4.0
48, 1, 1, 1, 1.0, 0.0
49, 1, 1, 1, 1.0, 0.0
51, 1, 1, 1, 1.0, 0.0
52, 0, 1, 1, 0.3333333333333333, 2.0
53, 0, 1, 1, 0.5, 1.0
54, 0, 1, 1, 0.5, 1.0
55, 0, 1, 1, 0.3333333333333333, 1.0
58, 0, 1, 1, 0.5, 0.0
59, 1, 1, 1, 1.0, 0.0
60, 1, 1, 1, 0.5076923076923077, 0.0
61, 0, 1, 1, 0.5, 0.0
