bug_id,Barinel,DStar,GP13,GP19,Naish2,Ochiai,Tarantula,TarantulaStar
1,2,2,2,2,2,2,2,2
2,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,3,3
4,1,1,1,1,1,1,1,1
5,2,2,2,2,2,2,2,2
6,19,19,19,19,19,19,19,19
7,15,15,15,15,15,15,15,15
8,14,15,15,15,15,15,14,15
9,26,17,13,32,13,18,26,13
10,31,23,18,20,18,20,31,18
11,2,2,2,2,2,2,2,2
12,2,1,1,1,1,1,2,1
13,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1
15,52,1,1,1,1,46,52,1
16,2,2,2,2,2,2,2,2
17,5,5,5,5,5,5,5,5
18,48,48,48,56,48,48,48,48
19,3,3,3,3,3,3,3,3
20,4,4,4,4,4,4,4,4
21,1,1,1,1,1,1,1,1
22,3,2,1,1,1,2,3,1
24,1,1,1,1,1,1,1,1
26,2,2,2,2,2,2,2,2
27,16,16,16,16,16,16,16,16
28,3,3,3,3,3,3,3,3
29,1,1,1,1,1,1,1,1
30,2,1,3,3,3,1,2,2
31,2,1,1,1,1,1,2,1
32,13,13,13,13,13,13,13,13
33,1,1,1,1,1,1,1,1
34,42,17,3,16,3,17,42,17
35,1,1,1,1,1,1,1,1
36,7,4,4,4,4,4,7,4
37,1,1,1,1,1,1,1,1
38,9,9,9,9,9,9,9,9
39,2,2,2,2,2,2,2,2
40,1,1,1,1,1,1,1,1
41,4,4,4,4,4,4,4,4
42,5,5,5,5,5,5,5,5
44,2,2,2,2,2,2,2,2
45,3,3,3,3,3,3,3,3
46,1,1,1,1,1,1,1,1
47,1,2,5,4,5,2,1,5
48,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1
50,9,10,24,10,24,10,9,17
51,1,1,1,1,1,1,1,1
52,3,3,3,3,3,3,3,3
53,2,2,2,2,2,2,2,2
54,2,2,2,2,2,2,2,2
55,3,3,3,3,3,3,3,3
58,2,2,2,2,2,2,2,2
59,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1
61,4,2,2,2,2,4,4,2
62,2,2,2,2,2,2,2,2
63,2,2,2,2,2,2,2,2
64,9,9,9,9,9,9,9,9
65,2,2,2,2,2,2,2,2
