bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
2, 0, 0, 0, 0.125, 7.0
4, 0, 0, 0, 0.08596491228070174, 15.0
6, 0, 0, 0, 0.022859205122664015, 20.0
7, 0, 0, 0, 0.013888888888888888, 68.0
8, 0, 1, 1, 0.5, 1.0
9, 0, 1, 1, 0.3333333333333333, 1.0
10, 1, 1, 1, 1.0, 0.0
11, 0, 0, 0, 0.07142857142857142, 13.0
14, 0, 0, 0, 0.028190743338008414, 26.0
15, 1, 1, 1, 1.0, 0.0
16, 1, 1, 1, 0.5208333333333334, 0.0
17, 0, 1, 1, 0.5, 0.0
18, 0, 0, 0, 0.10846560846560846, 73.0
19, 0, 0, 0, 0.014285714285714285, 67.0
20, 0, 0, 0, 0.041666666666666664, 73.0
21, 0, 0, 1, 0.25, 21.0
22, 1, 1, 1, 1.0, 0.0
23, 0, 0, 0, 0.02040816326530612, 39.0
24, 0, 0, 0, 0.02, 39.0
28, 0, 0, 0, 0.03333333333333333, 26.0
29, 0, 1, 1, 0.19607843137254902, 2.0
30, 0, 0, 1, 0.25, 13.0
31, 0, 0, 0, 0.029411764705882353, 28.0
32, 0, 0, 0, 0.0045045045045045045, 134.0
33, 0, 0, 0, 0.058823529411764705, 17.0
34, 1, 1, 1, 1.0, 0.0
38, 0, 0, 0, 0.047619047619047616, 20.0
39, 0, 0, 0, 0.017241379310344827, 50.0
40, 0, 0, 0, 0.030303030303030304, 30.0
41, 0, 0, 1, 0.2, 3.0
42, 0, 0, 0, 0.14285714285714285, 8.0
43, 0, 0, 0, 0.07692307692307693, 20.0
44, 0, 0, 0, 0.015384615384615385, 42.0
48, 0, 0, 0, 0.02127659574468085, 48.0
49, 0, 1, 1, 0.17507002801120447, 2.0
50, 0, 0, 0, 0.022727272727272728, 37.0
51, 0, 0, 0, 0.02127659574468085, 48.0
52, 0, 1, 1, 0.5, 2.0
54, 0, 1, 1, 0.3333333333333333, 2.0
55, 1, 1, 1, 1.0, 0.0
57, 0, 0, 0, 0.125, 10.0
58, 0, 0, 0, 0.0125, 73.0
59, 1, 1, 1, 1.0, 0.0
60, 0, 0, 0, 0.038461538461538464, 25.0
61, 0, 0, 0, 0.1111111111111111, 11.0
62, 0, 0, 0, 0.03624078624078624, 34.0
64, 0, 0, 0, 0.02857142857142857, 24.0
65, 0, 1, 1, 0.19105691056910568, 1.0
66, 0, 0, 0, 0.2624007936507936, 7.0
67, 0, 1, 1, 0.3333333333333333, 7.0
68, 0, 0, 0, 0.04372294372294372, 22.0
69, 0, 0, 0, 0.125, 6.0
70, 1, 1, 1, 1.0, 0.0
71, 0, 0, 0, 0.021846846846846846, 60.0
72, 0, 1, 1, 0.5, 1.0
73, 0, 0, 1, 0.2, 2.0
74, 0, 0, 0, 0.006329113924050633, 155.0
75, 1, 1, 1, 1.0, 0.0
76, 0, 0, 0, 0.04006410256410256, 30.0
77, 0, 0, 1, 0.29166666666666663, 2.0
78, 0, 0, 0, 0.043478260869565216, 23.0
79, 0, 0, 0, 0.1111111111111111, 5.0
80, 0, 0, 0, 0.037037037037037035, 24.0
81, 0, 0, 0, 0.1507936507936508, 6.0
82, 0, 0, 0, 0.018867924528301886, 38.0
83, 0, 1, 1, 0.27, 5.0
84, 1, 1, 1, 1.0, 3.0
85, 0, 0, 0, 0.1, 8.0
86, 0, 0, 0, 0.1111111111111111, 8.0
87, 0, 0, 0, 0.019230769230769232, 37.0
88, 0, 0, 0, 0.14285714285714285, 3.0
95, 0, 1, 1, 0.5, 2.0
97, 0, 0, 0, 0.125, 7.0
100, 0, 1, 1, 0.3333333333333333, 1.0
102, 0, 1, 1, 0.3333333333333333, 1.0
103, 0, 0, 0, 0.125, 7.0
106, 0, 1, 1, 0.3333333333333333, 3.0
