bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 0, 0, 0.14583333333333331, 7.0
3, 1, 1, 1, 1.0, 0.0
5, 0, 1, 1, 0.5, 1.0
99, 1, 1, 1, 0.8333333333333333, 0.0
90, 1, 1, 1, 1.0, 0.0
25, 0, 1, 1, 0.3333333333333333, 2.0
89, 1, 1, 1, 1.0, 0.0
26, 0, 0, 0, 0.1111111111111111, 8.0
91, 1, 1, 1, 1.0, 0.0
92, 0, 1, 1, 0.41111111111111115, 2.0
93, 0, 1, 1, 0.6388888888888888, 1.0
94, 1, 1, 1, 1.0, 0.0
101, 0, 0, 1, 0.25, 3.0
96, 0, 1, 1, 0.3333333333333333, 2.0
98, 1, 1, 1, 1.0, 0.0
35, 1, 1, 1, 0.8333333333333333, 0.0
36, 0, 1, 1, 0.5, 1.0
37, 0, 0, 0, 0.22619047619047616, 6.0
105, 1, 1, 1, 1.0, 1.0
45, 1, 1, 1, 1.0, 0.0
46, 0, 0, 0, 0.0196078431372549, 53.0
47, 0, 1, 1, 0.17058907431179574, 2.0
27, 1, 1, 1, 1.0, 0.0
53, 1, 1, 1, 1.0, 0.0
56, 0, 0, 0, 0.043478260869565216, 19.0
63, 0, 1, 1, 0.5, 0.0
