bug_id,Barinel,DStar,GP13,GP19,Naish2,Ochiai,Tarantula,TarantulaStar
1,8,13,13,13,13,13,8,13
2,8,8,8,8,8,8,8,8
3,1,1,1,1,1,1,1,1
4,6,15,15,6,15,15,6,15
5,2,2,2,2,2,2,2,2
6,42,19,26,36,26,25,42,31
7,72,72,72,72,72,72,72,72
8,2,2,2,2,2,2,2,2
9,3,3,3,3,3,3,3,3
10,1,1,1,1,1,1,1,1
11,14,14,14,14,14,14,14,14
14,23,23,23,212,23,23,23,23
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,2,2,2,2,2,2,2,2
18,7,7,7,7,7,7,7,7
19,70,70,70,70,70,70,70,70
20,24,24,24,24,24,24,24,24
21,50,4,4,23,4,4,50,23
22,1,1,14,1,14,1,1,3
23,49,49,49,97,49,49,49,49
24,50,50,50,71,50,50,50,50
25,3,3,3,3,3,3,3,3
26,9,9,9,9,9,9,9,9
27,1,1,1,1,1,1,1,1
28,30,30,30,30,30,30,30,30
29,1,3,48,29,48,3,1,29
30,4,4,4,4,4,4,4,4
31,74,34,18,18,18,30,74,18
32,222,222,222,245,222,222,222,222
33,17,17,17,17,17,17,17,17
34,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1
36,2,2,4,2,4,2,2,4
37,6,5,20,19,20,5,6,20
38,21,21,21,21,21,21,21,21
39,58,58,58,58,58,58,58,58
40,33,33,33,33,33,33,33,33
41,5,5,5,5,5,5,5,5
42,7,7,7,7,7,7,7,7
43,37,13,19,125,19,36,37,13
44,65,65,65,65,65,65,65,65
45,1,1,1,1,1,1,1,1
46,51,44,44,44,60,44,51,44
47,3,2,2,2,2,2,3,2
48,47,47,47,46,47,47,47,47
49,3,3,3,3,3,3,3,3
50,44,44,44,54,44,44,44,44
51,47,47,47,46,47,47,47,47
52,2,2,2,2,2,2,2,2
53,1,1,1,1,1,1,1,1
54,3,3,3,3,3,3,3,3
55,1,1,1,1,1,1,1,1
56,23,23,23,23,23,23,23,23
57,8,8,8,13,8,8,8,8
58,80,80,80,88,80,80,80,80
59,1,1,1,1,1,1,1,1
60,26,26,26,26,26,26,26,26
61,9,9,9,36,9,9,9,9
62,37,37,37,20,37,37,37,37
63,2,2,2,2,2,2,2,2
64,35,35,12,83,12,35,35,26
65,3,3,3,3,3,3,3,3
66,65,6,5,3,5,6,65,5
67,3,3,3,3,3,3,3,3
68,33,33,2,53,2,33,33,8
69,8,8,8,8,8,8,8,8
70,1,1,1,1,1,1,1,1
71,52,60,61,56,61,61,52,60
72,2,2,2,2,2,2,2,2
73,5,5,5,5,5,5,5,5
74,158,158,158,158,158,158,158,158
75,1,1,1,1,1,1,1,1
76,21,26,26,26,26,26,21,26
77,4,4,5,4,5,4,4,2
78,23,23,23,23,23,23,23,23
79,9,9,9,5,9,9,9,9
80,27,27,27,27,27,27,27,27
81,6,6,6,6,6,6,6,6
82,53,53,53,68,53,53,53,53
83,2,2,2,2,2,2,2,2
84,16,1,1,1,1,14,16,1
85,10,10,10,10,10,10,10,10
86,16,9,8,32,8,13,16,9
87,52,52,52,32,52,52,52,52
88,7,7,7,7,7,7,7,7
89,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1
91,1,1,1,1,1,1,1,1
92,3,3,3,3,3,3,3,3
93,2,2,2,2,2,2,2,2
94,1,1,1,1,1,1,1,1
95,2,2,2,2,2,2,2,2
96,3,3,3,3,3,3,3,3
97,8,8,8,17,8,8,8,8
98,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1
100,3,3,3,3,3,3,3,3
101,4,4,4,4,4,4,4,4
102,4,3,3,3,3,3,4,3
103,8,8,8,8,8,8,8,8
105,1,1,1,12,1,1,1,1
106,3,3,3,3,3,3,3,3
