bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 0, 0, 0.09706959706959706, 5.0
2, 1, 1, 1, 0.4148148148148148, 0.0
3, 1, 1, 1, 0.1271956217131795, 0.0
4, 0, 0, 0, 0.1, 9.0
5, 0, 0, 0, 0.041666666666666664, 23.0
6, 0, 0, 0, 0.00798851650752044, 113.0
7, 0, 0, 0, 0.1111111111111111, 8.0
8, 1, 1, 1, 1.0, 0.0
9, 1, 1, 1, 0.8333333333333333, 0.0
10, 0, 0, 0, 0.011363636363636364, 87.0
12, 0, 0, 0, 0.036576448243114915, 46.0
13, 0, 0, 0, 0.02321603128054741, 68.0
14, 0, 0, 1, 0.25, 4.0
16, 0, 0, 0, 0.1111111111111111, 7.0
17, 0, 1, 1, 0.3333333333333333, 1.0
18, 0, 0, 1, 0.25, 3.0
19, 0, 0, 0, 0.006134969325153374, 162.0
20, 0, 0, 0, 0.008928571428571428, 109.0
21, 0, 0, 0, 0.00909090909090909, 110.0
22, 0, 0, 0, 0.015873015873015872, 50.0
23, 0, 1, 1, 0.3333333333333333, 2.0
24, 0, 0, 0, 0.009615384615384616, 96.0
25, 0, 0, 0, 0.03571428571428571, 27.0
26, 0, 0, 0, 0.01976393617659382, 14.0
27, 0, 0, 0, 0.0048543689320388345, 206.0
