bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 0, 0, 0.09706959706959706, 5.0
2, 1, 1, 1, 0.4148148148148148, 0.0
3, 1, 1, 1, 0.4547672252501644, 0.0
4, 0, 0, 0, 0.1, 9.0
5, 0, 0, 0, 0.03125, 31.0
6, 0, 0, 0, 0.00917634996582365, 162.0
7, 0, 0, 0, 0.1111111111111111, 8.0
8, 1, 1, 1, 1.0, 0.0
9, 1, 1, 1, 0.8333333333333333, 0.0
10, 0, 0, 0, 0.011627906976744186, 89.0
12, 0, 0, 0, 0.04493035424921177, 45.0
13, 0, 0, 0, 0.02321603128054741, 68.0
14, 0, 0, 0, 0.017543859649122806, 57.0
16, 0, 0, 0, 0.09090909090909091, 12.0
17, 0, 1, 1, 0.3333333333333333, 1.0
18, 0, 0, 1, 0.25, 3.0
19, 0, 0, 0, 0.006134969325153374, 162.0
20, 0, 0, 0, 0.008928571428571428, 109.0
21, 0, 0, 0, 0.006993006993006993, 141.0
22, 0, 0, 0, 0.015625, 51.0
23, 0, 1, 1, 0.3333333333333333, 2.0
24, 0, 0, 0, 0.008130081300813009, 115.0
25, 0, 0, 0, 0.022222222222222223, 42.0
26, 0, 0, 0, 0.0046095094112517275, 270.0
27, 0, 0, 0, 0.0048543689320388345, 206.0
