bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 0, 0, 0.097069597069597058, 5.0
2,1, 1, 1, 0.4148148148148148, 0.0
3,1, 1, 1, 0.45476722525016439, 0.0
4,0, 0, 0, 0.10000000000000001, 9.0
5,0, 0, 0, 0.03125, 31.0
6,0, 0, 0, 0.0091763499658236505, 162.0
7,0, 0, 0, 0.1111111111111111, 8.0
8,1, 1, 1, 1.0, 0.0
9,1, 1, 1, 0.83333333333333326, 0.0
10,0, 0, 0, 0.011627906976744186, 89.0
12,0, 0, 0, 0.044930354249211768, 45.0
13,0, 0, 0, 0.02321603128054741, 68.0
14,0, 0, 0, 0.017543859649122806, 57.0
15,1, 1, 1, 1.0, 0.0
16,0, 0, 0, 0.090909090909090912, 12.0
17,0, 1, 1, 0.33333333333333331, 1.0
18,0, 0, 1, 0.25, 3.0
19,0, 0, 0, 0.0061349693251533744, 162.0
20,0, 0, 0, 0.0089285714285714281, 109.0
21,0, 0, 0, 0.006993006993006993, 141.0
22,0, 0, 0, 0.015625, 51.0
23,0, 1, 1, 0.33333333333333331, 2.0
24,0, 0, 0, 0.008130081300813009, 115.0
25,0, 0, 0, 0.022222222222222223, 42.0
26,0, 0, 0, 0.0046095094112517275, 270.0
27,0, 0, 0, 0.0048543689320388345, 206.0
