bug_id,Barinel,DStar,GP13,GP19,Naish2,Ochiai,Tarantula,TarantulaStar
1,7,7,7,7,7,7,7,7
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,10,10,10,10,10,10,10,10
5,32,14,6,6,6,24,32,6
6,76,79,56,83,56,109,76,80
7,9,9,9,9,9,9,9,9
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,86,88,88,88,88,88,86,88
12,46,108,119,110,119,50,46,119
13,62,62,62,62,62,62,62,62
14,57,4,2,2,2,4,57,2
15,1,1,1,1,1,1,1,1
16,11,9,9,9,9,9,11,9
17,3,3,3,3,3,3,3,3
18,4,4,4,4,4,4,4,4
19,163,163,163,163,163,163,163,163
20,112,112,112,112,112,112,112,112
21,143,112,22,22,22,110,143,22
22,64,63,63,63,63,63,64,63
23,3,3,3,3,3,3,3,3
24,111,85,84,84,84,104,123,84
25,45,24,6,14,6,28,45,13
26,270,16,16,16,16,16,274,16
27,206,206,206,206,206,206,206,206
